"22.5.2013 13:27";"Kol Ami";"Authentic Israel";"GabiG@authenticisrael.com";"972542215454";"972587507000";"F7";"http://www.authenticisrael.com/";"https://www.facebook.com/pages/%D7%A7%D7%95%D7%9C-%D7%A2%D7%9E%D";"•Young Jews from Israel and around the world getting to know Isr";"F11";"18-22";"yes";"01/09/2013";"F15";"F16";"F17";"in months";"6";"all year round";"9500";"housing, full board, tuition";"leadership & activism training";"leadership & activism training, tour Israel, aliyah";"F25";"sports, politics, social issues & Israeli society, judaism, Isra";""volunteer opportunities, outdoor challenge, environment & Natur";"Enrichment activities & Fun, Volunteer, Study, Explore Israel's";"English";"Israel";"the north, Jerusalem and surrounding areas";"F32";"F33"
"27.02.2013 00:56";"Europe and Israel Adventure";"Shorashim";"israeladventure@shorashim.org";"312-267-0677";"312-380-6534";"http://www.shorashim.org";"http://www.shorashim.org/ccp-israel-adventure";"http://www.shorashim.org/ccp-israel-adventure-register";"An exhilarating journey through Israel with Israeli peers. Explore Israel from north to south and sea to sea. Spend a Shabbat in the homes of your Israeli friends. Through outdoor adventures, volunteer opportunities, and ongoing dialogues with Israelis, learn about the rich culture and history of Israel. Choose to begin your adventure in Spain or Poland with an optional week prior to Israel.";"teen travel";"14-18";"no";"";"";"";"";"in weeks";"4";"summer";"7400";"housing, flights, visit additional countries";"touring the country";"leadership & activism training, tour Israel, partnership together";"";"sports, politics, arts, science, environment & nature, social issues & Israeli society, judaism, Israeli history & Zionism, business, technology, spirituality";""volunteer opportunities, outdoor challenge, tour israel, educational seminars, environment & Nature, Israeli home hospitality, Jewish study, meet Israeli peers, vi";"Volunteer, Enrichment activities & Fun, volunteer, learn hebrew, study,explore Israel's heritage, travel";"English";"Israel";"all over the country";"";""
"21.02.2013 12:23";"Start-uP MBA";"Technion International School";"admissions@int.technion.ac.il";"972-77-8871897";"972-4-8293325";"http://www.ise.technion.ac.il";"http://www.technionMBA.com";"http://www.technionmba.com/contact/";"MBA programs focusing on the management of knowledge-based and technology-intensive firms. This program is distinguished from other MBA programs by innovation and entrepreneurship. Building upon the strengths of the Technion and of the faculty of Industrial Engineering and Management, the Technion MBA has become one of Israel's leading management education programs.";"semester to year programs for ages 18-30";"23-30";"no";"01/10/2013";"";"";"";"in months";"12";"all year round";"35000";"tuition";"academic study";"academic study";"";"science, business, technology";"""";"Enrichment activities & Fun, study, travel";"English";"Israel";"Tel aviv and surrounding areas";"";""
"21.02.2013 12:14";"Freshman Year of Engineering and Sciences in Russian";"Technion International School";"office@int.technion.ac.il";"972-77-887-3532";"972-77-887-3531";"http://www.ise.technion.ac.il/";"http://www.ise.technion.ac.il/category/freshman-russian";"http://www.ise.technion.ac.il/category/freshman-russian";"Technion brings innovation, excellence, research and advanced scholarship to the fore during a complete one-year freshman program, delivered in Russian, focusing on the hard sciences.";"semester to year programs for ages 18-30";"18-30";"no";"01/09/2013";"";"";"";"in months";"10";"all year round";"10000";"housing, tuition";"academic study";"academic study";"";"science, Israeli history & Zionism, technology";""tour israel, meet Israeli peers"";"Enrichment activities & Fun, study, learn hebrew, explore Israel's heritage";"Russian";"Israel";"the north";"";""
"21.02.2013 12:14";"Nerlitz";"Neve Yerushalayim";"nerlitz@nevey.org";"02 654 45 72";"";"http://nevey.org";"http://www.nevey.org";"nerlitz@nevey.org";"Nerlitz is a year-long program geared for French-speaking young women between the ages of 17-26. The goal of Nerlitz is to deepen each student’s knowledge and appreciation of the Jewish faith, foster her growth in Torah learning, and strengthen her bond to the Land of Israel. Graduates of Nerlitz assume leadership and educational positions in their home countries and endeavor to share their Jewish knowledge with those who were not fortunate to have a good Jewish education. Nerlitz is directed by Rabbi and Mrs. Ackermann, who are founders of the program. They are well known, experienced educators who show great care and warmth for their students.";"semester to year programs for ages 18-30";"18-30";"yes";"30/06/2014";"";"";"";"in months";"10";"all year round";"14000";"housing, full board, tuition";"jewish study";"hebrew ulpan, leadership & activism training, tour Israel";"";"judaism, Israeli history & Zionism, spirituality";""volunteer opportunities, tour israel, Jewish study"";"volunteer,travel, study, learn hebrew, explore Israel's heritage";"French";"Israel";"Jerusalem and surrounding areas";"";""
"21.02.2013 12:05";"ME in Systems Engeeniring";"Technion International School";"blind@technion.ac.il";"972-48295592";"972-48295161";"http://www.technionme.com/#";"http://www.technionme.com/#";"http://www.technionme.com/#";"A unique interdisciplinary degree for experienced professionals. Designed for engineers interested in advancing their career and earning practical tools to succeed.";"semester to year programs for ages 18-30";"23-30";"no";"01/10/2013";"";"";"";"in months";"15";"all year round";"33000";"tuition";"academic study";"academic study";"";"technology";""educational seminars"";"Enrichment activities & Fun, study";"English";"Israel";"the north";"";""
"21.02.2013 11:55";"Research Opportunities";"Technion International School";"admissions@int.technion.ac.il";"972-77-8871897";"972-4-8293325";"http://www.ise.technion.ac.il";"http://www.ise.technion.ac.il/category/Research_";"http://www.ise.technion.ac.il/category/Contact";"The Technion-Israel Institute of Technology offers foreign undergraduate, master’s, and doctoral students a unique opportunity to undertake prestigious research at Israel’s leading science and technology university. A study-abroad research program at the Technion will prepare students for advancement and excellence in both academia and industry.";"semester to year programs for ages 18-30";"23-30";"no";"";"";"";"";"in months";"12";"all year round";"";"tuition";"academic study";"";"";"technology";"""";"Enrichment activities & Fun, learn hebrew";"English";"Israel";"the north";"";""
"21.02.2013 11:44";"Start-Up Camp";"Technion International School";"admissions@int.technion.ac.il";"972-77-8871897";"972-4-8293325";"http://www.ise.technion.ac.il";"http://www.ise.technion.ac.il/category/StartUPcamp";"http://www.ise.technion.ac.il/category/Contact";"A summer innovation camp for 15-18 year olds taught in English at Israel’s most prestigious science and technology university. Join peers from around the globe as you learn about entrepreneurship, business models, and development, and about the global high-tech industry. Enjoy exciting trips and unbelievable activities throughout Israel.";"pre-high school";"14-18";"no";"";"";"";"";"in weeks";"3";"summer";"5000";"housing, tuition";"summer camp";"academic study, summer camp";"";"business, technology";""tour israel"";"Enrichment activities & Fun, study, travel";"English";"Israel";"the north";"";""
"20.02.2013 16:35";"SciTech";"Technion International School";"admissions@int.technion.ac.il";"972-77-8871897";"972-4-8293325";"http://www.ise.technion.ac.il";"http://www.ise.technion.ac.il/category/SciTech_Summer_Program";"http://www.ise.technion.ac.il/category/Contact";"SciTech is a 4-week-long technology research camp for gifted high school students from all over the world. The program combines scientific research with cultural and social activities. Students use state-of-the-art facilities in our research laboratories to work on projects tailored to their special interests and skills.";"pre-high school";"14-18";"no";"";"";"";"";"in weeks";"4";"summer";"5700";"housing, tuition";"summer camp";"academic study, summer camp";"";"science, technology";""tour israel"";"Enrichment activities & Fun, study, travel";"English";"Israel";"the north";"";""
"20.02.2013 16:31";"Entrepreneurship with Industry";"Technion International School";"admissions@int.technion.ac.il";"972-77-8871897";"972-4-8293325";"http://www.ise.technion.ac.il";"http://www.ise.technion.ac.il/category/Entrepreneurship&";"http://www.ise.technion.ac.il/category/Contact";"The summer program provides students with hands-on academic experience in areas essential to the development of real life technology start-ups. These include marketing fundamentals, economics of innovation, legal and intellectual property rights, strategic business planning, and more. The program´s unique structure incorporates academic courses and experience.";"4-10 week programs for students and young adults";"18-30";"no";"";"";"";"";"in weeks";"11";"summer";"6000";"tuition";"academic study";"";"";"business, technology";""placements"";"Enrichment activities & Fun, study";"English";"Israel";"the north";"";""
"20.02.2013 16:22";"Entrepreneurship and Innovation";"Technion International School";"admissions@int.technion.ac.il";"972-77-8871897";"972-4-8293325";"http://www.ise.technion.ac.il";"http://www.ise.technion.ac.il/category/Entrepreneurship_innovation";"http://www.ise.technion.ac.il/category/Contact";"The summer program provides students with hands-on academic experience in areas essential to the development of real life technology start-ups. These include marketing fundamentals, economics of innovation, legal and intellectual property rights, strategic business planning and more.";"4-10 week programs for students and young adults";"18-30";"no";"";"";"";"";"in weeks";"4";"summer";"5000";"tuition";"academic study";"academic study";"";"science, business, technology";"""";"Enrichment activities & Fun, study";"English";"Israel";"the north";"";""
"20.02.2013 16:18";"Engineering for Developing Communities";"Technion International School";"admissions@int.technion.ac.il";"972-77-8871897";"972-4-8293325";"http://www.ise.technion.ac.il";"http://www.ise.technion.ac.il/category/Engineering_Developing_Communities";"http://www.ise.technion.ac.il/category/Contact";"The Engineering for Developing Communities program provides a real life learning experience, enabling students to apply fundamental and theoretical knowledge to real world day to day situations. The program challenges students to engage in innovative thinking and provides them with multidisciplinary tools to address a wide range of engineering and development challenges.";"4-10 week programs for students and young adults";"18-30";"no";"";"";"";"";"in weeks";"4";"summer";"4500";"housing, tuition";"academic study";"academic study, summer camp";"";"science, environment & nature, technology";""outdoor challenge, Israel & International tour"";"Enrichment activities & Fun, study, volunteer";"English";"Israel";"all over the country";"";""
"20.02.2013 16:14";"Semester Abroad in English";"Technion International School";"admissions@int.technion.ac.il";"972-77-8871897";"972-4-8293325";"http://www.ise.technion.ac.il";"http://www.ise.technion.ac.il/category/Study_Abroad";"http://www.ise.technion.ac.il/category/Contact";"Technion International´s Semester abroad program offers students from around the globe the opportunity to experience world class university education in the Technion Israel Institute of Technology. Students may choose from courses in a range of subjects and fields, all taught in English.";"semester to year programs for ages 18-30";"18-30";"no";"";"";"";"";"in months";"5";"all year round";"6500";"tuition";"academic study";"academic study";"";"science, technology";""tour israel"";"Enrichment activities & Fun, study";"English";"Israel";"the north";"";""
"20.02.2013 16:10";"Bsc. in Civil and Environmental Engineering";"Technion International School";"admissions@int.technion.ac.il";"972-77-8871897";"972-4-8293325";"http://www.ise.technion.ac.il";"http://www.ise.technion.ac.il/category/Undergraduate_Programs";"http://www.ise.technion.ac.il/category/Contact";"Technion´s BSc degree program in Civil and Environmental Engineering, taught entirely in English by world-renowned Technion faculty, is a four-year degree consisting of 160 credits. It offers qualified students a unique opportunity to study the primary challenges facing both developed and developing societies around the world.";"semester to year programs for ages 18-30";"18-22";"yes";"";"";"";"";"in months";"48";"all year round";"17000";"housing, tuition";"academic study";"academic study";"";"sports, science, environment & nature, technology";""tour israel"";"Enrichment activities & Fun, study, learn hebrew";"English";"Israel";"the north";"";""
"20.02.2013 16:06";"Freshman Year of Engineering and Science";"Technion International School";"admissions@int.technion.ac.il";"972-77-8871897";"972-4-8293325";"http://www.ise.technion.ac.il";"http://www.ise.technion.ac.il/category/Freshman_Year";"http://www.ise.technion.ac.il/category/Contact";"Technion brings innovation, excellence, research, and advanced scholarship to the fore during a complete one-year freshman program focusing on the hard sciences with an option for student specialization in either chemistry and biology or mechanics and civil engineering. Experience an exciting student life and culture in Israel.";"semester to year programs for ages 18-30";"18-22";"yes";"";"";"";"";"in months";"12";"all year round";"17000";"housing, tuition";"academic study";"academic study";"";"sports, science, environment & nature, technology";""meet Israeli peers"";"Enrichment activities & Fun, study, Volunteer";"English";"Israel";"the north";"";""
"20.02.2013 15:59";"Technion American Medical Program";"Robert Lubin";"rlubin@tx.technion.ac.il";"04 829-5390";"";"http://www1.technion.ac.il/en";"http://teams.technion.ac.il/";"http://teams.technion.ac.il/";"The Technion American Medical School (TeAMS) offers a unique opportunity to study an English-language American-style medical school curriculum at Israel's most prestigious faculty of medicine.";"semester to year programs for ages 18-30";"23-30";"no";"";"";"";"";"in months";"37";"winter";"29750";"tuition";"academic study";"academic study";"";"science";"""";"Enrichment activities & Fun, study, learn hebrew";"English";"Israel";"the north";"";""
"18.02.2013 10:13";"Jewish Medical Ethics summer program";"The Schlesinger Institute";"edu@medethics.org.il";"972-2-6555267";"";"http://www.medethics.org.il";"http://www.summer.medethics.org.il";"https://docs.google.com/forms/d/1OiFvgGD_XgJTlvsk2XSUoIiyUE4AtjiZFSJkMCKE4Mg/viewform";"Summer program for medical students from around the world. The students come to study and deepen their knowledge of issues pertaining to medical ethics and Halacha. They hear some of the finest lecturers on the subject, raising ethical dilemmas of contemporary medicine. The program includes tours of the Sha'are Zedek patient wards.";"less than 4 weeks for students and young adults";"18-30";"no";"";"";"";"";"in days";"25";"summer";"2900";"housing, tuition";"";"academic study, tour Israel";"";"science, judaism, technology, spirituality";""volunteer opportunities, educational seminars, environment & Nature, Jewish study, meet Israeli peers"";"Enrichment activities & Fun, study, learn hebrew, explore Israel's heritage,";"English";"Israel";"Jerusalem and surrounding areas";"";""
"14.02.2013 08:29";"TOMER DEVORAH";"ANFEI HATOMER";"INFO@TOMERDEVORAH.NET";"773-262-0208";"972-2-5716633";"http://www.tomerdevorah.net";"http://WWW.TOMERDEVORAH.NET";"http://www.tomerdevorah.net/contact-us.html";"Our curriculum consists of a wide range of fundamental topics that form the backbone of Torah knowledge for any Jewish woman. In addition, there are two levels of electives offered. Our highly academic program is recognized for college credits. In addition to the classroom time spent in our required Yediat Ha’aretz course, we go on a wide variety of tiyulim throughout the year spanning the breadth of the Land. These trips are geared towards engendering in the students a true ahavat ha’Aretz. Likewise, Shabbatonim in various cities in Israel offer the students an entirely different perspective on life in Eretz Yisrael. Students are called upon during their year in the seminary to contribute to the lives of Jews living in Israel. Our chessed program is fluid and flexible, as students are given a choice of venues in which they would like to be involved.";"gap year (between high school and University)";"18-22";"yes";"26/08/2013";"10/06/2014";"";"";"in months";"10";"all year round";"21500";"housing, full board, tuition";"jewish study";"academic study, hebrew ulpan, leadership & activism training, tour Israel";"";"social issues & Israeli society, judaism, Israeli history & Zionism, spirituality";""volunteer opportunities, outdoor challenge, tour israel, educational seminars, environment & Nature, Israeli home hospitality, Jewish study"";"Enrichment activities & Fun, study, learn hebrew, explore Israel's heritage, volunteer, travel";"English";"Israel";"Jerusalem and surrounding areas";"";""
"12.02.2013 12:29";"Mach Hach";"Bnei Akiva of North America and Canada / Tlalim Educational Tours";"office@bneiakiva.net";"646-248-7555";"050-709-8304";"http://www.bneiakiva.org";"http://www.bneiakiva.org/?/camp/camp_machhach";"http://www.bneiakiva.org/?/camp/camp_machhach";"Mach Hach BaAretz is the premier summer tour of Israel for tenth graders. Through original programming, visits to historical sites, and activities engaging in modern Israel, Mach Hach Ba’Aretz participants experience Israel first-hand and develop a deeper understanding and connection to Eretz Yisrael. Join us for this once in a lifetime trip!";"teen travel";"14-18";"no";"";"";"";"";"in weeks";"6";"summer";"6949";"housing, flights, full board, tuition";"touring the country";"leadership & activism training, tour Israel, summer camp, aliyah";"";"sports, politics, arts, environment & nature, social issues & Israeli society, judaism, Israeli history & Zionism, spirituality";""volunteer opportunities, outdoor challenge, internship tour israel, educational seminars, environment & Nature, Israeli home hospitality, Jewish study, meet Israeli peers, time on";"Enrichment activities & Fun, study, learn hebrew, explore Israel's heritage, volunteer, travel, Volunteer";"English";"Israel";"all over the country";"";""
"12.02.2013 12:12";"Machaneh Avoda Bnei Akiva France and Belgium";"World Bnei Akiva / Tlalim Educational Tours";"office@bneiakiva.net";"026209012";"";"http://www.bneiakiva.net";"http://www.bneiakiva.net";"http://www.bneiakiva.net";"Bnei Akiva Machane Avoda is an experience of a lifetime that you’ll never forget. It’s a unique camp where you’ll see new sights and places, make lots of new friends, see Israel like never before and have the time of your life! This isn’t just a tour – it’s Israel Machane – and as you’d expect from Bnei Akiva, there’s loads to learn. Even when you don’t realize it, you’ll be soaking up more than just the sun. And there’s so much more! Caves, tunnels, swimming, museums, special guests, tochniot, shabbatot, peulot, climbs, nights out…";"teen travel";"14-18";"no";"";"";"";"";"in weeks";"4";"summer";"";"housing, full board, tuition";"touring the country";"leadership & activism training, tour Israel, summer camp, aliyah";"";"sports, politics, arts, environment & nature, social issues & Israeli society, judaism, Israeli history & Zionism, spirituality";""volunteer opportunities, outdoor challenge, tour israel, educational seminars, environment & Nature, Israeli home hospitality, Jewish study, meet Israeli peers"";"Enrichment activities & Fun, study, learn hebrew, explore Israel's heritage, volunteer, travel, Volunteer, kibbutz experience";"French";"Israel";"all over the country";"";""
"12.02.2013 11:45";"Machaneh Avodah Holland";"World Bnei Akiva / Tlalim Educational Tours";"office@bneiakiva.net";"026209012";"";"http://www.bneiakiva.net";"http://www.bneakiwa.nl/new/index.php";"http://www.bneakiwa.nl/new/index.php";"Bnei Akiva Machane Avoda is an experience of a lifetime that you’ll never forget. It’s a unique camp where you’ll see new sights and places, make lots of new friends, see Israel like never before and have the time of your life! This isn’t just a tour – it’s Israel Machane – and as you’d expect from Bnei Akiva, there’s loads to learn. Even when you don’t realize it, you’ll be soaking up more than just the sun.";"teen travel";"18-30";"no";"";"";"";"";"in weeks";"3";"summer";"";"housing, full board, tuition";"touring the country";"leadership & activism training, tour Israel, summer camp";"";"sports, politics, environment & nature, social issues & Israeli society, judaism, Israeli history & Zionism, spirituality";""outdoor challenge, tour israel, educational seminars, environment & Nature, Israeli home hospitality, Jewish study, meet Israeli peers"";"Enrichment activities & Fun, study, learn hebrew, explore Israel's heritage, travel, Volunteer, kibbutz experience";"English";"Israel";"all over the country";"";""
